path	kind	size	lines	ext	issues	sha
app/src/main/cpp/vectra_core_accel.c	text	39006	690	.c	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/cpp/vectra_lowlevel_backend.h	text	1865	47	.h	-	-
app/src/main/cpp/vectra_lowlevel_backend_arm64.c	text	1706	57	.c	-	-
app/src/main/cpp/vectra_lowlevel_backend_armv7.c	text	1795	54	.c	-	-
app/src/main/cpp/vectra_lowlevel_backend_fallback.c	text	1133	34	.c	-	-
app/src/main/cpp/vectra_lowlevel_backend_riscv64.c	text	1082	34	.c	-	-
app/src/main/cpp/vectra_lowlevel_backend_x86.c	text	1969	64	.c	-	-
app/src/main/cpp/vectra_lowlevel_backend_x86_64.c	text	2080	66	.c	-	-
app/src/main/java/android/androidVNC/AbstractBitmapData.java	text	5934	197	.java	CRLF	-
app/src/main/java/android/androidVNC/AbstractBitmapDrawable.java	text	3181	125	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/AbstractGestureInputHandler.java	text	2845	88	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/AbstractInputHandler.java	text	1822	54	.java	CRLF,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/AbstractScaling.java	text	3165	119	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/BitmapImplHint.java	text	179	7	.java	CRLF	-
app/src/main/java/android/androidVNC/COLORMODEL.java	text	1895	89	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/CapabilityInfo.java	text	2388	88	.java	CRLF	-
app/src/main/java/android/androidVNC/CapsContainer.java	text	2930	104	.java	CRLF	-
app/src/main/java/android/androidVNC/ColorModel256.java	text	6949	266	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/ColorModel64.java	text	6950	267	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/ColorModel8.java	text	6947	266	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/CompactBitmapData.java	text	2755	110	.java	CRLF,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/ConnectionBean.java	text	3189	185	.java	CRLF,missing-final-newline	-
app/src/main/java/android/androidVNC/ConnectionSettable.java	text	161	12	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/DH.java	text	6589	186	.java	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/DPadMouseKeyHandler.java	text	3299	117	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/DesCipher.java	text	20017	539	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/FitToScreenScaling.java	text	1280	57	.java	CRLF	-
app/src/main/java/android/androidVNC/FullBufferBitmapData.java	text	9283	304	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/InStream.java	text	4779	155	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/LargeBitmapData.java	text	13198	433	.java	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/MemInStream.java	text	1183	33	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/MetaKeyBase.java	text	1007	50	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
